product sku,product title,product_description,image
SKU:  MRPS873602 ,Major Pharmaceuticals Cold and Cough High Blood Pressure Compare to Coricidin ,"Major Pharmaceuticals 873602 coricidin cough & cold high blood pressure antihistamine/antitussive tablet, 4/30mg, 16 tablets. ",cold-and-cough-high-blood-pressure-compare-to-coricidin-5b3.jpg
SKU:  SAJD7400005G ,SAJ Distributors Cough Drop Cherry Compare to Halls® 30s - Each ,SAJ SELECT BRAND COUGH DROPS ,cough-drop-cherry-compare-to-hallsreg-30s-each-899.jpg
SKU:  SAJD7400013G ,SAJ Distributors Cough Drop Honey Lemon Compare to Halls® 30s - Each ,SAJ SELECT BRAND COUGH DROPS ,cough-drop-honey-lemon-compare-to-hallsreg-30s-each-04b.jpg
SKU:  SAJD7400021G ,SAJ Distributors Cough Drop Menthol Compare to Halls® 30s - Each ,SAJ SELECT BRAND COUGH DROPS ,cough-drop-menthol-compare-to-hallsreg-30s-each-bdd.jpg
SKU:  MRPS235939 ,"Major Pharmaceuticals Allergy Tablets, 4mg, Unit Dose 10x10, Compare to Chlor-Trimeton® Tabs, NDC# 00904-0012-61 ","Feature Allergy Tablets, 4mg, Unit Dose 10x10, Compare to Chlor-Trimeton Tabs, NDC# 00904-0012-61 ",allergy-tablets-4mg-unit-dose-10x10-compare-to-chlor-trimetonreg-tabs-ndc-00904-0012-61-015.jpg
SKU:  MRPS6746 ,"Major Pharmaceuticals Banophen™, 25mg, 24s, Compare to Benadryl®, NDC# 00904-2035-24 ","Feature Banophen, 25mg, 24's, Compare to Benadryl, NDC# 00904-2035-24 ",banophentrade-25mg-24s-compare-to-benadrylreg-ndc-00904-2035-24-fad.jpg
SKU:  MRPS700802 ,"Major Pharmaceuticals Banophen™, 120mL, Boxed, Compare to Benadryl® Elixir, NDC# 00904-1228-20 (To Be DISCONTINUED) ","Feature Banophen, 120mL, Boxed, Compare to Benadryl Elixir, NDC# 00904-1228-20 ",banophentrade-120ml-boxed-compare-to-benadrylreg-elixir-ndc-00904-1228-20-to-be-discontinued-ce1.jpg
SKU:  MRPS255015 ,"Major Pharmaceuticals All Day Allergy, 24 Hour, 14s, Compare to Zyrtec®, NDC# 00904-5829-41 ","Feature All Day Allergy, 24 Hour, 14's, Compare to Zyrtec, NDC# 00904-5829-41 ",all-day-allergy-24-hour-14s-compare-to-zyrtecreg-ndc-00904-5829-41-075.jpg
SKU:  MRPS255019 ,"Major Pharmaceuticals All Day Allergy, 24 Hour, 30s, Compare to Zyrtec®, NDC# 00904-5829-46 ","Feature All Day Allergy, 24 Hour, 30's, Compare to Zyrtec, NDC# 00904-5829-46 ",all-day-allergy-24-hour-30s-compare-to-zyrtecreg-ndc-00904-5829-46-12e.jpg
SKU:  MRPS265231 ,"Major Pharmaceuticals Clearatadine, 10mg, 10s, Boxed, Compare to Claritin®, NDC# 00904-5728-15 ","Feature Clearatadine, 10mg, 10's, Boxed, Compare to Claritin, NDC# 00904-5728-15 ",clearatadine-10mg-10s-boxed-compare-to-claritinreg-ndc-00904-5728-15-fd3.jpg
SKU:  MKS42442700 ,McKesson Sunmark Cough Relief Liquid ,Sunmark cough relief liquid - 100mg / 5ml 8 oz. ,sunmark-cough-relief-liquid-64a.jpg
SKU:  MKS45312700 ,McKesson Cough Suppressant/Oral Anesthetic Lozenge - 7.0 mg ,McKesson brand cough suppressant/oral anesthetic lozenge - 7.0 mg 125 per Box ,cough-suppressant-oral-anesthetic-lozenge-70-mg-e67.jpg
SKU:  MKS45312700 ,McKesson Cough Suppressant/Oral Anesthetic Lozenge - 7.0 mg ,McKesson brand cough suppressant/oral anesthetic lozenge - 7.0 mg 125 per Box ,cough-suppressant-oral-anesthetic-lozenge-70-mg-e67.jpg
SKU:  MKS68972700 ,McKesson Sunmark Cough Relief Liquid - 8 oz ,Sunmark Cough Relief Liquid - 8 oz.,sunmark-cough-relief-liquid-8-oz-3ef.jpg
